spectrum,VDISP,VDISP_ERR,Z,Z_ERR,ZWARNING,SPECTROFLUX_U,SPECTROFLUX_G,SPECTROFLUX_R,SPECTROFLUX_I,SPECTROFLUX_Z,SPECTROFLUX_IVAR_U,SPECTROFLUX_IVAR_G,SPECTROFLUX_IVAR_R,SPECTROFLUX_IVAR_I,SPECTROFLUX_IVAR_Z,SPECTROSYNFLUX_U,SPECTROSYNFLUX_G,SPECTROSYNFLUX_R,SPECTROSYNFLUX_I,SPECTROSYNFLUX_Z,SPECTROSYNFLUX_IVAR_U,SPECTROSYNFLUX_IVAR_G,SPECTROSYNFLUX_IVAR_R,SPECTROSYNFLUX_IVAR_I,SPECTROSYNFLUX_IVAR_Z,object_id
"{'flux': array([-1.0853875 , -1.0850221 , -0.26722202, ...,  6.818087  ,
        6.818241  ,  6.818396  ], dtype=float32), 'ivar': array([0.        , 0.02947227, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0536673, 1.0440156, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",145.22461,14.571218,0.13547221,3.3781995e-05,False,6.5908837,15.746602,39.795204,61.90408,83.56737,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,5.644112,15.691956,39.64355,61.801495,84.12844,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461757531761436672'
"{'flux': array([ 4.79099  ,  4.7893524,  3.1793687, ..., 18.53172  , 18.532124 ,
       18.532528 ], dtype=float32), 'ivar': array([0.        , 0.02558806, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0536561, 1.0434195, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",29.722874,63.220863,0.14342192,7.217075e-06,False,7.373247,13.376561,24.076065,34.909065,38.521057,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,6.395094,13.322196,23.979406,34.96813,39.733402,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461757806639343616'
"{'flux': array([-0.9895348, -0.9891899, -1.8681154, ..., 14.980983 , 14.981292 ,
       14.981602 ], dtype=float32), 'ivar': array([0.        , 0.02519029, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0536468, 1.0439378, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",0.0,0.0,-7.885219e-05,2.194991e-05,False,102.256996,124.63192,98.38166,79.19001,64.844734,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,88.45486,124.52953,98.266556,78.798485,65.13374,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461758081517250560'
"{'flux': array([-1.5172743, -1.5167414,  0.6575035, ...,  3.6173768,  3.6174502,
        3.617523 ], dtype=float32), 'ivar': array([0.        , 0.01119969, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0536205, 1.0304091, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",187.97452,11.889258,0.14915383,2.6922791e-05,False,6.610561,22.797682,61.922707,92.520546,122.95651,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,6.457471,22.766758,61.879,92.887245,122.49737,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461758631273064448'
"{'flux': array([-3.9302716, -3.9289212, -3.5997145, ..., 12.6611805, 12.661451 ,
       12.661724 ], dtype=float32), 'ivar': array([0.        , 0.01875831, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0536034, 1.0299468, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",92.0538,7.847381,0.07425181,2.0327552e-05,False,7.6958866,28.372566,66.29905,97.367645,127.128204,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,7.8027997,28.344215,66.171486,97.64834,126.38789,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461758906150971392'
"{'flux': array([-2.6655517 , -2.664607  , -2.6636639 , ..., -0.08230612,
       -0.08230773, -0.08230935], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.       , 0.       , 1.0533797, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",112.115295,18.213598,0.14284444,9.966578e-06,False,8.24083,14.686944,30.584822,47.31337,60.32586,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,7.494223,14.621014,30.486969,47.058292,60.024506,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461759730784692224'
"{'flux': array([4.631468 , 4.6295543, 5.966979 , ..., 3.7539496, 3.7539861,
       3.7540228], dtype=float32), 'ivar': array([0.        , 0.02823286, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0534071, 1.0379943, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",105.23779,34.591057,0.09983847,7.737926e-06,False,18.860794,32.657063,42.817486,57.722054,58.92403,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,10.407991,32.778778,42.94066,56.672127,60.44155,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461761105174226944'
"{'flux': array([-3.7361586, -3.7351048, -1.1245186, ..., 10.05372  , 10.054041 ,
       10.054362 ], dtype=float32), 'ivar': array([0.        , 0.03830491, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.051007 , 1.0285667, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",0.0,0.0,7.9152196e-05,2.6986165e-05,False,-0.7394875,1.4051676,7.7588096,30.82891,63.10234,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,-0.3832236,1.3686438,7.4366407,30.858574,63.089012,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461762204685854720'
"{'flux': array([ 0.5655585 ,  0.5653974 , -0.40009496, ...,  3.6021643 ,
        3.6022773 ,  3.6023905 ], dtype=float32), 'ivar': array([0.        , 0.05066107, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0509903, 1.0283277, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",52.53729,23.109663,0.059544276,9.171665e-06,False,4.9911237,11.084721,19.262316,27.347095,33.288105,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,3.6253152,11.05186,19.295319,27.115503,33.58479,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461762479563761664'
"{'flux': array([37.579872, 37.569675, 41.120415, ..., 25.763021, 25.76389 ,
       25.76476 ], dtype=float32), 'ivar': array([0.        , 0.00980311, 0.        , ..., 0.        , 0.        ,
       0.        ], dtype=float32), 'lsf_sigma': array([0.       , 1.0509669, 1.029642 , ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True, False,  True, ...,  True,  True,  True])}",43.047363,8.868793,0.022886809,1.579437e-05,False,13.615396,33.951202,73.87784,108.81802,142.72522,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,13.426724,34.082123,73.13481,109.11289,141.91353,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461762754441668608'
"{'flux': array([ 4.626519 ,  4.6252127,  4.6239085, ..., 10.009484 , 10.009804 ,
       10.010122 ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.       , 0.       , 1.0506815, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",39.330997,41.332493,0.016795354,1.2558286e-05,False,6.9741087,14.464746,20.860838,25.246752,28.273163,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,8.900186,14.288888,20.838892,25.004198,27.341166,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461763579075389440'
"{'flux': array([4.1946063, 4.193427 , 4.19225  , ..., 7.6419816, 7.642226 ,
       7.6424713], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.       , 0.       , 1.0506433, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",0.0,0.0,1.3485823,0.0003173558,False,26.225351,31.400915,44.980164,48.470493,49.238472,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,25.155365,31.176655,44.77243,47.90177,48.899883,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461763853953296384'
"{'flux': array([20.26646 , 20.260355, 20.25426 , ...,  8.330761,  8.331   ,
        8.331238], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.       , 0.       , 1.0506026, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",97.27169,25.119875,0.19937564,9.5825335e-06,False,4.0514975,10.091225,20.877565,31.949078,38.79376,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,5.3276544,10.033659,20.668953,31.67788,38.329327,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461764128831203328'
"{'flux': array([5.7645516, 5.7628717, 5.761194 , ..., 6.25789  , 6.2580795,
       6.2582693], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.       , 0.       , 1.0505519, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",155.76875,23.929289,0.17824371,1.541118e-05,False,7.001802,16.150494,32.785942,52.128674,65.27502,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,9.738556,15.981696,32.82809,51.710476,64.41559,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461764953464924160'
"{'flux': array([8.722137 , 8.719212 , 8.71629  , ..., 7.7683215, 7.7684994,
       7.7686768], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0.       , 0.       , 1.0505184, ..., 0.       , 0.       ,
       0.       ], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",151.2798,12.760148,0.16374624,3.558735e-05,False,3.08877,12.829073,35.33063,53.701717,70.79908,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,3.0231218,12.745817,35.259563,53.607723,70.33086,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461765228342831104'
"{'flux': array([162.37117 , 162.31705 , 162.263   , ...,  91.24401 ,  91.246124,
        91.248245], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",0.0,138.99911,0.01654268,1.1610272e-05,False,7.2860928,13.743779,26.506819,38.621803,51.431446,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,6.132392,13.804854,26.258602,38.51551,51.062553,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461766602732365824'
"{'flux': array([20.258165 , 20.251547 , 20.244938 , ...,  4.6896925,  4.689807 ,
        4.6899204], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",0.0,0.0,-9.347778e-06,1.770543e-05,False,0.6445881,9.947452,27.827644,40.20061,48.9077,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,1.2432165,9.913912,27.666372,40.421715,47.656624,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461767152488179712'
"{'flux': array([ 1.8128985,  1.8122956,  1.8116935, ..., 24.102356 , 24.10292  ,
       24.103483 ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",0.0,65.704124,0.06721155,5.0872773e-06,False,9.036989,15.872603,17.354183,25.423174,23.520359,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,-0.2017303,14.982458,17.534044,23.124485,27.08567,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461767427366086656'
"{'flux': array([10.476998 , 10.473608 , 10.470222 , ...,  9.669936 ,  9.6701765,
        9.670417 ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",187.65932,16.092394,0.13660361,1.1357881e-05,False,5.2775354,19.57732,46.561863,75.62883,100.704636,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,8.564875,19.351374,46.626682,75.20978,99.76281,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461767977121900544'
"{'flux': array([12.23092  , 12.226798 , 12.222682 , ...,  7.557888 ,  7.558058 ,
        7.5582294], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",79.35431,11.632519,0.09010555,1.8852363e-05,False,6.842015,16.894407,38.158928,57.053852,72.898674,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,5.4166327,16.867336,38.143597,56.629738,73.09247,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461768526877714432'
"{'flux': array([4.3053083, 4.3038497, 4.3023934, ..., 6.7566094, 6.7567606,
       6.7569118], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",87.300964,18.24169,0.06720136,1.1279913e-05,False,5.4246383,13.788517,34.143875,58.90528,76.03487,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,4.2049427,13.812921,33.980534,58.79575,82.14128,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461768801755621376'
"{'flux': array([ 6.2986603,  6.2964325,  6.294208 , ..., 12.480354 , 12.480601 ,
       12.480847 ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",74.81283,14.674886,0.074332625,8.521513e-06,False,8.361086,18.57348,30.392832,41.662212,48.24079,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,8.333242,18.486269,30.206045,41.389206,46.79135,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461769351511435264'
"{'flux': array([4.3522396, 4.3506503, 4.3490634, ..., 5.4423585, 5.442455 ,
       5.442552 ], dtype=float32), 'ivar': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lsf_sigma': array([0., 0., 0., ..., 0., 0., 0.], dtype=float32), 'lambda': array([3787.913 , 3788.7854, 3789.658 , ..., 9217.221 , 9219.344 ,
       9221.467 ], dtype=float32), 'mask': array([ True,  True,  True, ...,  True,  True,  True])}",65.86926,17.521954,0.13426405,8.505812e-06,False,14.408213,24.791098,38.66261,53.83623,62.024647,1.0975173,3.3579903,2.8741612,1.465873,0.67511564,14.830933,24.794956,38.533245,54.50993,61.091873,2.9794621,3.4843051,2.7628505,1.749405,0.9556925,b'    461769901267249152'
